"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PCJBM7ZH","presentation","2019","Ryu, Byungki; Chung, Jaywan; Park, SuDong","(invited) General Efficiency Theory of Thermoelectric Conversion","","","","","","","2019-07-04","2021-09-05 08:37:50","2025-04-24 15:15:16","","","","","","","","","","","","","","Gyeongju, Korea","","","Invited Oral","","","","","","","C:\Users\cta4r\Zotero\storage\CXYRVDHQ\BRyu_20190703_ICT2019한국경주-(invited) General Efficiency Theory of TE Conversion, v10.0_final.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 38th International Conference on Thermoelectrics (ICT) and The 4th Asian Conference on Thermoelectrics (ACT)","","","","","","","","","","","","","","","",""
"B3UY3MWZ","presentation","2010","Ryu, Byungki; Choi, Eun-Ae; Noh, Hyeon-Kyun; Bang, Junhyeok; Lee, Woo-Jin; Chang, Kee Joo","Electronic Structure and Defects in Oxide Semiconductors and Insulators","","","","","","","2010-05-30","2021-08-22 05:27:35","2022-06-04 11:50:32","","","","","","","","","","","","","","Osaka, Japan","","","Poster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Core Research and Engineering Science of Advanced Materials","","","","","","","","","","","","","","","",""
"4ZWBX8ZB","presentation","2010","Ryu, Byungki; Chang, Kee Joo","The electronic structure of O-vacancy at the interface between Si and HfO2","","","","","","","2010-03-15","2021-08-22 05:25:55","2022-06-04 11:45:00","","","","","","","","","","","","","","Portand, US","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\RQS22ZAR\BRyu_20100300_APS-March_Vo_SIHFO_interface_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010 APS March meeting","","","","","","","","","","","","","","","",""
"DQUFBCEH","presentation","2009","Ryu, Byungki; Chang, Kee Joo","The electronic structure of oxygen-vacancy in ZnO/HfO2 interface structures","","","","","","","2009-10-21","2021-08-22 04:36:54","2024-03-28 10:46:38","","","","","","","","","","","","","","Changwon, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\JCYLLCSR\qq.txt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2009 Fall","","","","","","","","","","","","","","","",""
"AZBRJENL","presentation","2009","Ryu, Byungki; Chang, Kee Joo","The electronic structure of O-vacancy at the interface between ZnO and amorphous HfO2","","","","","","","2009-10-26","2021-08-22 05:21:21","2022-06-04 11:43:36","","","","","","","","","","","","","","Beijing, China","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\R8MDGUBV\BRyu_20091000_Asian12_Vo_ZNHFO_interface_(poster).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 12th Asian Workshop on First-Principles Electronic Structure Calculations","","","","","","","","","","","","","","","",""
"YIDMGWLV","presentation","2006","Ryu, Byungki; Kang, Yongju; Chang, Kee Joo","Chemical bonding and electronic structure of AlO2 nanotube bundles","","","","","","","2006-11-06","2021-05-17 01:20:43","2022-06-04 11:30:34","","","","","","","","","","","","","","KIAS, Seoul, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\BMNSGWWF\BRyu_20061000_Asian9_ANT-bundle_(poster).pdf; C:\Users\cta4r\Zotero\storage\CR3FEEQ3\BRyu_20061000_Asian9_ANT-bundle_(poster).ppt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 9th Asian Workshop on First-Principles Electronic Structure Calculations","","","","","","","","","","","","","","","",""
"NB8V79FD","presentation","2006","Ryu, Byungki; Kang, Yong-Ju; Chang, Kee Joo","The electronic structure of aluminate nanotube bundles","","","","","","","2006-04-20","2021-05-17 01:15:07","2024-03-28 10:46:04","","","","","","","","","","","","","","Phoenix Park, Pyeongchang, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\LMT2RQ5E\BRyu_20060400_KPS-Spring_ANT-bundle_(oral).pdf; C:\Users\cta4r\Zotero\storage\D5Q9RDD2\BRyu_20060400_KPS-Spring_ANT-bundle_(oral).ppt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2006 Spring","","","","","","","","","","","","","","","",""
"PEU6M43G","presentation","2007","Ryu, Byungki; Kang, Joongoo; Kim, Yong-Hoon; Chang, Kee Joo","Electron quantum Tunneling through Ultrathin HfO2 Layers","","","","","","","2007-10-18","2021-08-22 04:14:50","2024-03-28 10:46:08","","","","","","","","","","","","","","Jeju, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\39MQS8JL\BRyu_20071000_KPS-Fall_Si-HfO2-GateLeakage_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2006 Fall","","","","","","","","","","","","","","","",""
"8FBUR83F","presentation","2008","Ryu, Byungki; Kang, Joongoo; Bang, Junhyeok; Chang, Kee Joo","Effects of Atomic-Scale Defects on the Electronic Structure of the Dirac Fermions in Graphene","","","","","","","2008-04-17","2021-08-22 04:20:08","2024-03-28 10:46:25","","","","","","","","","","","","","","Daejeon, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\C5WUHUKZ\BRyu_20080400_KPS-Spring_Graphene-AB-defects_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2008 Spring","","","","","","","","","","","","","","","",""
"YTRFH8LQ","presentation","2009","Ryu, Byungki; Moon, Chang-Youn; Lee, Woo-Jin; Chang, Kee Joo","Donor-pair defects and doping efficiency in silicon nanowires","","","","","https://ui.adsabs.harvard.edu/abs/2009APS..MARJ36015R/abstract","","2009-03-17","2021-08-22 04:39:58","2022-06-04 11:37:11","","","","","","","","","","","","","","Pittsburgh, Pennsylvania, US","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\RDCTVKQ4\BRyu_20090300_APS-March_Si-Donor-Pair-SiNWs_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009 APS March Meeting","","","","","","","","","","","","","","","",""
"LB36PE46","presentation","2009","Ryu, Byungki; Chang, Kee Joo","The electronic structure of oxygen-vacancy in Si(001)/HfO2 interface structures","","","","","","","2009-04-23","2021-08-22 04:22:02","2024-03-28 10:46:20","","","","","","","","","","","","","","Daejeon, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\53MD5CPP\BRyu_20090400_KPS-Spring_Vo-SIHFO_interface_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2009 Spring","","","","","","","","","","","","","","","",""
"QQDA3WVU","presentation","2009","Ryu, Byungki; Chang, Kee Joo","The electronic structure of oxygen-vacancy in Si-HfO2 interface structure","","","","","","","2009-06-18","2021-08-22 04:29:14","2022-06-04 11:25:19","","","","","","","","","","","","","","KIAS, Seoul, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\6CAZ6JZC\dd.txt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 5th KIAS Electronic Structure Calculation Workshop","","","","","","","","","","","","","","","",""
"7WA3YAKL","presentation","2009","Ryu, Byungki; Chang, Kee Joo","The electronic properties of the interface between ZnO and amorphous HfO2","","","","","","","2009-07-20","2021-08-22 04:43:30","2022-06-04 11:39:10","","","","","","","","","","","","","","St. Peterburg, Russia","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\PPU4VQP8\BRyu_20090700_ICDS25_Vo-ZNHFO_interface_(poster).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 25th International Conference on Defects in Semiconductors (ICDS-25)","","","","","","","","","","","","","","","",""
"EDB3WU47","presentation","2010","Ryu, Byungki; Chang, Kee Joo","Electronic structure of O-vacancy in amorphous zinc tin oxide","","","","","","","2010-07-25","2021-08-22 05:29:36","2022-06-04 11:54:42","","","","","","","","","","","","","","COEX, Seoul, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\P662PZ4G\BRyu_20100700_ICPS30-2010_Vo_a-ZTO_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 30th International Conference on the Physics of Semiconductors (ICPS-30)","","","","","","","","","","","","","","","",""
"QGMCZDPK","presentation","2010","Ryu, Byungki; Noh, Hyeon-Kyun; Choi, Eun-Ae; Chang, Kee Joo","The role of O-vacancy in Negative Bias Illumination Stress Instability in amorphous In-Ga-Zn-O TFTs","","","","","","","2010-10","2021-08-22 04:46:53","2024-03-28 10:46:49","","","","","","","","","","","","","","Pyeongchang, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\XRKYX26U\BRyu_20101002_KPS-Fall_VO-a-IGZO_(oral).pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2010 Fall","","","","","","","","","","","","","","","",""
"Q2PXVHGT","presentation","2013","Ryu, Byungki; Ahn, K.; Lee, S. M.; Lee, Kyu Hyoung","Electronic structure of Mn and Fe impurities in Bi-Sb-Te","","","","","https://www.semanticscholar.org/paper/Electronic-structure-of-Mn-and-Fe-impurities-in-Ryu-Ahn/3b003d8c97b2eeb55d02c27411522794c22ee8d0","Submitted for the MAR13 Meeting of The American Physical Society Electronic structure of Mn and Fe impurities in Bi-Sb-Te BYUNGKI RYU, KYUNGHAN AHN, SANG MOCK LEE, KYU HYOUNG LEE, Samsung Advanced Institute of Technology — Bi2Te3-based thermoelectric materials are well known room temperature thermoelectric materials. Here we present a density-functional study of the electronic structure of Mn and Fe doped p-type BiSb-Te (p-BST) to investigate the effect of metal impurities on the thermoelectronic properties. Our calculations show that, for both Mn and Fe, the substitutional impurity at the Bi/Sb-site is the most stable geometry. Mn is a single acceptor, whereas Fe is an isovalent defect. The metal d bands are located within the host bands, not in the band gap. Due to the octahedral symmetry of the Bi/Sb-site, the metal d bands of Mn and Fe are split into three t2g and two e ∗ g states in the high spin configuration. The electronic charge distribution analysis reveals that occupied eg states are well resonant with the host valence bands. As the e ∗ g states are located near the valence band maximum, Mn and Fe impurities are expected to enhance the p-type Seebeck coefficient of BST. Byungki Ryu Samsung Advanced Institute of Technology Date submitted: 05 Nov 2012 Electronic form version 1.4","2013-03-21","2021-09-05 09:02:56","2022-06-07 02:18:02","2021-09-05 09:02:56","","","","","","","","","","","","","Baltimore, Maryland, US","en","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\57CX6HWE\BRyu_20130322_APS2013-Mn,Fe-in-BST_(oral).pptx; C:\Users\cta4r\Zotero\storage\Z856BLGB\3b003d8c97b2eeb55d02c27411522794c22ee8d0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 APS March Meeting","","","","","","","","","","","","","","","",""
"GJMEP3UT","presentation","2014","Ryu, Byungki; Oh, Min-Wook; Park, Su-Dong","Atomic and electronic structure of Ag defects in PbTe","","","","","","","2014-09-15","2021-05-17 01:10:15","2021-09-05 09:11:43","","","","","","","","","","","","","","Warsaw, Poland","en","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\34QTILVG\BRyu_20140915_EMRS_Ag-in-PbTe_(poster)v2.pptx; C:\Users\cta4r\Zotero\storage\AIK5XZSM\Ryu 등 - Atomic and electronic structure of Ag defects in P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 ERMS Fall Meeting","","","","","","","","","","","","","","","",""
"4ZWGMHST","presentation","2015","Ryu, Byungki; Oh, Min-Wook; Lee, Jae Ki; Park, SuDong","Formation of Ag-related defects in Ag-doped PbTe thermoelectrics","","","","","","","2015-06-18","2021-05-17 01:10:20","2021-09-05 09:11:33","","","","","","","","","","","","","","KIAS, Seoul, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\8M3UBG5N\BRyu_20150616_ESCW2016-Ag-in-PbTe_v5.pptx; C:\Users\cta4r\Zotero\storage\73F4TKCZ\Ryu 등 - Formation of Ag-related defects in Ag-doped PbTe t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11th KIAS Electronic Structure Calculation Workshop","","","","","","","","","","","","","","","",""
"YT4IVS92","presentation","2016","Lee, Min-Ho; Rhyee, Jong-Soo; Ryu, Byungki","Theoretical and experimental study: Enhancement of Thermoelectric performance in SnTe through the negative correlation effect between thermos-power and carrier density with Ag doping","","","","","","","2016","2021-08-22 04:51:04","2024-03-28 10:46:54","","","","","","","","","","","","","","Gwangju, Korea","","","Oral","","","","","Best oral presentation","","C:\Users\cta4r\Zotero\storage\4F9JBFG3\이민호-20161020-KPS-SnTe-발표자료_수정류병기161017 v3.ppt; C:\Users\cta4r\Zotero\storage\6SL8GWE3\이민호-20161020-KPS-SnTe-발표자료.ppt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Korean Physical Society (KPS) Fall Meeting","","","","","","","","","","","","","","","",""
"95I9SEGY","presentation","2016","Ryu, Byungki; Chung, Jaywan; Park, SoDong","Understanding, Calculating, and Predicting Thermoelectric Effects: from Materials to Devices","","","","","","","2016-11-24","2021-08-22 04:56:38","2021-09-05 09:10:44","","","","","","","","","","","","","","COEX, Seoul, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\6AUNRQXJ\BRyu_20161124_KCS열전전산모사 v8 final.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 Korean Ceramic Society Fall Meeting","","","","","","","","","","","","","","","",""
"ACLLR78U","presentation","2019","Chung, Jaywan; Ryu, Byungki; Lee, Jae Ki; Park, SuDong","Machine-Learning-based Prediction for Contact Resistance in Thermoelectric Modules","","","","","","","2019-07-03","2021-09-05 08:41:53","2025-04-24 15:15:13","","","","","","","","","","","","","","Gyeongju, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\N3ZN92Q7\Jaywan Chung-20190702_ICT2019한국경주-Machine Learning Contact Resistance of TE_v2.pptx; C:\Users\cta4r\Zotero\storage\Y6RHRVCP\Jaywan Chung-20190708-Machine Learning Contact Resistance of TE_haeundae.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 38th International Conference on Thermoelectrics (ICT) and The 4th Asian Conference on Thermoelectrics (ACT)","","","","","","","","","","","","","","","",""
"UW3N4U24","presentation","2019","Lee, Jae Ki; Park, SuDong; Lee, Min-Ho; Ryu, Byungki; Chung, Jaywan; Schierning, Gabi; Nielsch, Kornelius","Controlling Nano-twin Structure and Tuning zT for Segmented module in Bismuth Telluride-based Thermoelectric Material","","","","","","","2019-07-02","2021-09-05 08:46:11","2025-04-24 15:15:03","","","","","","","","","","","","","","Gyeongju, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\VKZLMPMT\이재기 ICT-ACT 2019_Jae Ki Lee.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 38th International Conference on Thermoelectrics (ICT) and The 4th Asian Conference on Thermoelectrics (ACT)","","","","","","","","","","","","","","","",""
"HGPEM3GI","presentation","2019","Ryu, Byungki; Choi, Eun-Ae; Park, SuDong","Asymmetric Band Alignment Responsible for Minority Carrier Blocking in Bulk Mg2(Si,Ge,Sn) Thermoelectric Alloys: A First-Principles Study","","","","","","","2019-07-02","2021-09-05 08:44:41","2025-04-24 15:15:11","","","","","","","","","","","","","","Gyeongju, Korea","","","Poster","","","","","","","C:\Users\cta4r\Zotero\storage\RVB9RV7L\BRyu_20190703_ICT2019한국경주-(poster) band offset asymmetric v3.pptx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 38th International Conference on Thermoelectrics (ICT) and The 4th Asian Conference on Thermoelectrics (ACT)","","","","","","","","","","","","","","","",""
"VHLSJ8PQ","presentation","2020","Ryu, Byungki; Chung, Jaywan; Park, SuDong","Thermoelectric ZT Paradox: 열전성능지수 ZT와 열전에너지변환효율에 대한 비직관적 관계에 대한 보고","","","","","","","2020-10-28","2021-08-22 04:58:11","2024-10-27 14:25:40","","","","","","","","","","","","","","Virtual, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\GLKZCDUY\BRyu_20201028 대한금속재료학회 ZT패러독스 발표.pptx","","","","","","","Chung, Jaywan; Park, SuDong","","","","","","","","","","","","","","","","","","","","","","","","","","대한금속재료학회(KIM) 2020 Fall","","","","","","","","","","","","","","","",""
"BLRYSER5","presentation","2021","Ryu, Byungki; Chung, Jaywan; Park, SuDong","열전소재 성능평가를  위한 효율계산 연구","","","","","","","2021-04-29","2021-05-17 01:23:49","2024-10-27 14:25:48","","","","","","","","","","","","","","Wellihillipark, Hoengseong, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\PAY7QAXN\BRyu_20210429_KIM_열전소재효율평가계산_V1_20210429.pdf; C:\Users\cta4r\Zotero\storage\C3UWTPKX\BRyu_20210429_KIM_열전소재효율평가계산_V1_20210429.pptx","","","","","","","Chung, Jaywan; Park, SuDong","","","","","","","","","","","","","","","","","","","","","","","","","","대한금속재료학회(KIM) 2021 Spring","","","","","","","","","","","","","","","",""
"GVTEWD5T","presentation","2021","Ryu, Byungki; Chung, Jaywan; Park, SuDong","General Efficiency Theory of Thermoelectric Heat Engine, Three instead of One:  beyond ZT, toward Material and Device Design","","","","","","","2021-04-30","2021-05-17 01:11:55","2024-10-27 14:25:53","","","","","","","","","","","","","","Wellihillipark, Hoengseong, Korea","","","Oral","","","","","","","C:\Users\cta4r\Zotero\storage\NG4DM43B\BRyu_20210429_KIM_열전재료_GeneralEfficiencyTheory_V0_20210430.pdf; C:\Users\cta4r\Zotero\storage\TAUMJTZC\BRyu_20210429_KIM_열전재료_GeneralEfficiencyTheory_V0_20210430.pptx","","","","","","","Chung, Jaywan; Park, SuDong","","","","","","","","","","","","","","","","","","","","","","","","","","대한금속재료학회(KIM) 2021 Spring","","","","","","","","","","","","","","","",""
"EKL8YAZG","presentation","2021","Ryu, Byungki; Chung, Jaywan; Park, SuDong","Computation and Data-driven Research on Thermoelectric Materials and Devices Design","","","","","","Thermoelectric (TE) phenomena refer to direct energy conversion between thermal and electrical energy. In a certain solid material, TE voltage can be generated under temperature difference via Seebeck effect. Or, the electrical current can carry heat current via Peltier effect. These TE effects can be applied for industrial applications such as power generation from unused/waste heat and solid state cooling. TE phenomena are governed by three TE transport properties : Seebeck coefficient, electrical and thermal conductivity. Classically, TE efficiency is determined by the ratio of three parameters given by the so-called zT. Hence balancing three parameters are key strategy toward high material efficiency. Advanced design of TE devices and their fabrications are also important topic for TE industrialization.","2021-10-21","2022-06-04 09:42:22","2024-03-28 10:47:08","","","","","","","","","","","","","","Online, Korea","","","Oral Invited","","","","","","","C:\Users\cta4r\Zotero\storage\WCDP57SK\BRyu_20211021_2021-KPS-fall_Computation Data-driven TE research v6.0_final.pptx; C:\Users\cta4r\Zotero\storage\5GC9KIEG\Byungki 등 - Computation and Data-driven Research on.pdf; C:\Users\cta4r\Zotero\storage\2D7HUXQD\초록.pdf; C:\Users\cta4r\Zotero\storage\ZPX8HQN9\초록워드.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KPS 2021 Fall","","","","","","","","","","","","","","","",""
"5947SI54","presentation","2011","Noh, Hyeon-Kyun; Ryu, Byungki; Choi, Eun-Ae; Chang, Kee Joo","Origin of Device Instability in Amorphous Indium-gallium-zinc Oxide Thin Film Transistors","","","","","","","2011-04-25","2022-06-04 12:09:21","2022-06-04 12:11:02","","","","","","","","","","","","","","Moscone West and San Francisco Marriott, San Francisco, California, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011 MRS Spring","","","","","","","","","","","","","","","",""
"8AYU9B9K","presentation","2011","Park, Ji-Sang; Ryu, Byungki; Chang, Kee Joo","Stability of donor-pair defects in Si1-xGex alloy nanowires","","","","","","","2011-03-21","2022-06-04 12:06:18","2022-06-04 12:07:52","","","","","","","","","","","","","","Dallas, Texas, US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011 APS March Meeting","","","","","","","","","","","","","","","",""
